,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,female_ancg_dge,female_dlpfc_dge,female_nacc_dge,male_ancg_dge,male_dlpfc_dge,male_nAcc_dge
REGULATION OF TRANSMEMBRANE TRANSPORTER ACTIVITY,GOBP,GO:0022898,0,0,1.506476423,0,0,0,0,0,0,0
NEUTRAL AMINO ACID TRANSPORT,GOBP,GO:0015804,0,0,2.65653508,0,0,0,0,0,0,0
REGULATION OF PROTEIN PROCESSING,GOBP,GO:0070613,0,0,0,0,0,0,1.672573803,0,0,0
AMINOGLYCAN METABOLIC PROCESS,GOBP,GO:0006022,0,0,0,0,0,0,2.51471859,0,0,0
ACUTE-PHASE RESPONSE,GOBP,GO:0006953,0,0,0,0,0,0,2.837809985,0,0,0
MULTI-ORGANISM TRANSPORT,GOBP,GO:0044766,0,0,0,0,0,0,0,0,0,2.815168039
POSITIVE REGULATION OF NUCLEAR-TRANSCRIBED MRNA POLY(A) TAIL SHORTENING,GOBP,GO:0060213,0,0,0,0,0,0,0,2.372590033,0,0
CAMERA-TYPE EYE DEVELOPMENT,GOBP,GO:0043010,2.632628673,0,0,0,0,0,0,0,0,0
MESONEPHRIC TUBULE DEVELOPMENT,GOBP,GO:0072164,1.449464352,0,0,0,0,0,0,0,0,0
REGULATION OF NEUROTRANSMITTER SECRETION,GOBP,GO:0046928,0,2.199087123,0,0,0,0,0,0,0,0
TOOTH MINERALIZATION,GOBP,GO:0034505,1.356027339,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF VIRAL PROCESS,GOBP,GO:0048524,1.712624434,0,0,0,0,0,0,0,0,0
REGULATION OF SECONDARY METABOLITE BIOSYNTHETIC PROCESS,GOBP,GO:1900376,1.300756072,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF GENE SILENCING BY MIRNA,GOBP,GO:0060965,0,0,0,0,0,0,0,0,2.358791823,0
EPIDERMIS DEVELOPMENT,GOBP,GO:0008544,0,0,0,0,0,1.807790259,0,0,0,0
FRUCTOSE 6-PHOSPHATE METABOLIC PROCESS,GOBP,GO:0006002,0,0,0,0,0,0,0,0,1.732605042,0
ALANINE TRANSPORT,GOBP,GO:0032328,0,0,1.495487512,0,0,0,0,0,0,0
HISTONE H3-K36 DEMETHYLATION,GOBP,GO:0070544,0,0,0,3.027972462,0,0,0,0,0,0
RESPONSE TO DEXAMETHASONE,GOBP,GO:0071548,0,0,0,0,0,0,0,0,1.52645411,0
MAINTENANCE OF PROTEIN LOCATION IN NUCLEUS,GOBP,GO:0051457,1.756786707,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF VACUOLE ORGANIZATION,GOBP,GO:0044090,0,0,0,0,0,0,0,1.352661508,0,0
EMBRYONIC PATTERN SPECIFICATION,GOBP,GO:0009880,0,1.599806491,0,0,0,0,0,0,0,0
NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:1901293,0,0,0,0,0,0,0,0,1.585371469,0
EMBRYONIC ORGAN MORPHOGENESIS,GOBP,GO:0048562,2.496554828,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF ERK1 AND ERK2 CASCADE,GOBP,GO:0070373,0,2.081708784,0,0,0,0,0,0,0,0
STEM CELL DEVELOPMENT,GOBP,GO:0048864,1.328103757,0,0,0,0,0,0,0,0,0
FIBRINOLYSIS,GOBP,GO:0042730,0,0,0,0,0,0,0,0,1.354528041,0
REGULATION OF ACTIN FILAMENT-BASED PROCESS,GOBP,GO:0032970,0,1.410813492,0,0,0,0,0,0,0,0
HISTONE DEACETYLATION,GOBP,GO:0016575,0,0,1.512397088,0,0,0,0,0,0,0
PROTEIN QUALITY CONTROL FOR MISFOLDED OR INCOMPLETELY SYNTHESIZED PROTEINS,GOBP,GO:0006515,0,0,0,0,0,0,0,0,0,1.574685298
EPHRIN RECEPTOR SIGNALING PATHWAY,GOBP,GO:0048013,0,0,0,1.506115983,0,0,0,0,0,0
VERY LONG-CHAIN FATTY ACID METABOLIC PROCESS,GOBP,GO:0000038,0,0,0,0,0,0,1.766686035,0,0,0
DOSAGE COMPENSATION BY INACTIVATION OF X CHROMOSOME,GOBP,GO:0009048,0,0,0,0,0,0,0,0,1.546167178,0
HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION,GOBP,GO:0002244,1.428295569,0,0,0,0,0,0,0,0,0
HYPEROSMOTIC RESPONSE,GOBP,GO:0006972,0,0,0,0,0,2.06768018,0,0,0,0
AXON ENSHEATHMENT IN CENTRAL NERVOUS SYSTEM,GOBP,GO:0032291,1.924856839,0,0,0,0,0,0,0,0,0
PARTURITION,GOBP,GO:0007567,0,0,0,0,0,2.522932708,0,0,0,0
RESPONSE TO PROSTAGLANDIN E,GOBP,GO:0034695,0,0,1.657531104,0,0,0,0,0,0,0
PROTEIN NEDDYLATION,GOBP,GO:0045116,0,0,0,0,0,0,0,0,0,1.449210504
REFLEX,GOBP,GO:0060004,0,0,0,0,0,0,0,0,1.603253672,0
EPITHELIAL CELL DEVELOPMENT,GOBP,GO:0002064,0,0,0,0,0,0,1.588737228,0,0,0
REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND,GOBP,GO:2001239,0,0,0,0,0,1.551571879,0,0,0,0
AMINE BIOSYNTHETIC PROCESS,GOBP,GO:0009309,0,0,0,0,0,0,0,1.568250062,0,0
POST-EMBRYONIC ANIMAL ORGAN DEVELOPMENT,GOBP,GO:0048569,0,2.329746985,0,0,0,0,0,0,0,0
REGULATION OF VASOCONSTRICTION,GOBP,GO:0019229,0,0,0,2.105168409,0,0,0,0,0,0
ANOIKIS,GOBP,GO:0043276,0,1.524763654,0,0,0,0,0,0,0,0
IONOTROPIC GLUTAMATE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0035235,0,0,2.158929453,0,0,0,0,0,0,0
POSITIVE REGULATION OF POTASSIUM ION TRANSPORT,GOBP,GO:0043268,0,0,0,0,0,0,0,1.553363681,0,0
INTERLEUKIN-1-MEDIATED SIGNALING PATHWAY,GOBP,GO:0070498,0,0,0,0,0,0,0,1.406590449,0,0
ANTIBIOTIC METABOLIC PROCESS,GOBP,GO:0016999,0,0,0,0,0,0,2.935879332,0,0,0
RIBOSOMAL SUBUNIT EXPORT FROM NUCLEUS,GOBP,GO:0000054,0,0,0,0,0,0,0,0,0,1.449210504
CELLULAR MODIFIED AMINO ACID BIOSYNTHETIC PROCESS,GOBP,GO:0042398,0,0,0,0,0,0,0,0,2.08283744,0
CEREBRAL CORTEX CELL MIGRATION,GOBP,GO:0021795,0,0,1.855429989,0,0,0,0,0,0,0
REGULATION OF PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR SIGNALING PATHWAY,GOBP,GO:0035358,0,0,0,1.545675784,0,0,0,0,0,0
PARASYMPATHETIC NERVOUS SYSTEM DEVELOPMENT,GOBP,GO:0048486,0,2.158864748,0,0,0,0,0,0,0,0
RESPONSE TO INCREASED OXYGEN LEVELS,GOBP,GO:0036296,0,0,0,0,0,0,0,2.177083827,0,0
POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION,GOBP,GO:0010595,0,0,0,0,0,0,0,0,0,1.96536784
NEGATIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION,GOBP,GO:0045620,0,0,0,0,1.88212075,0,0,0,0,0
REGULATION OF PLATELET ACTIVATION,GOBP,GO:0010543,1.312438004,0,0,0,0,0,0,0,0,0
VITAMIN BIOSYNTHETIC PROCESS,GOBP,GO:0009110,0,0,0,0,0,0,0,0,2.8544121,0
RESPONSE TO OXYGEN RADICAL,GOBP,GO:0000305,0,0,0,0,0,0,0,0,1.354528041,0
NEGATIVE REGULATION OF STEM CELL DIFFERENTIATION,GOBP,GO:2000737,0,0,0,0,0,0,0,1.772645584,0,0
SPHINGOSINE-1-PHOSPHATE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0003376,0,0,0,0,0,0,0,0,1.603253672,0
NEGATIVE REGULATION OF MACROPHAGE ACTIVATION,GOBP,GO:0043031,0,0,0,0,0,0,0,0,1.397802534,0
ATRIAL CARDIAC MUSCLE CELL TO AV NODE CELL COMMUNICATION,GOBP,GO:0086066,0,0,0,0,0,0,0,0,0,1.333328668
BILE ACID AND BILE SALT TRANSPORT,GOBP,GO:0015721,0,0,0,1.488362191,0,0,0,0,0,0
ORGANELLE MEMBRANE FUSION,GOBP,GO:0090174,0,0,2.478863,0,0,0,0,0,0,0
BEHAVIORAL FEAR RESPONSE,GOBP,GO:0001662,0,0,1.47872978,0,0,0,0,0,0,0
CELLULAR RESPONSE TO CALCIUM ION,GOBP,GO:0071277,1.328103757,0,0,0,0,0,0,0,0,0
OLIGOSACCHARIDE-LIPID INTERMEDIATE BIOSYNTHETIC PROCESS,GOBP,GO:0006490,0,0,0,0,1.810808618,0,0,0,0,0
BETA-CATENIN-TCF COMPLEX ASSEMBLY,GOBP,GO:1904837,0,0,0,2.55074488,0,0,0,0,0,0
MEMBRANE FUSION,GOBP,GO:0061025,0,0,4.514297196,0,0,0,0,0,0,0
PROTEIN LOCALIZATION TO MICROTUBULE CYTOSKELETON,GOBP,GO:0072698,0,0,0,0,0,1.613069351,0,0,0,0
DIGESTIVE SYSTEM PROCESS,GOBP,GO:0022600,0,0,0,0,1.537088189,0,0,0,0,0
NEGATIVE REGULATION OF CALCIUM ION TRANSMEMBRANE TRANSPORT,GOBP,GO:1903170,0,0,0,0,1.3296792,0,0,0,0,0
CELLULAR RESPONSE TO LEUKEMIA INHIBITORY FACTOR,GOBP,GO:1990830,0,0,4.70877273,0,0,0,0,0,0,0
REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE,GOBP,GO:1902099,0,0,0,0,0,2.138679706,0,0,0,0
POSITIVE REGULATION OF BLOOD VESSEL DIAMETER,GOBP,GO:0097755,0,0,0,1.898639704,0,0,0,0,0,0
CALCIUM ION TRANSPORT,GOBP,GO:0006816,0,2.565588883,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO MONOSACCHARIDE STIMULUS,GOBP,GO:0071326,0,0,2.817382553,0,0,0,0,0,0,0
REGULATION OF CALCIUM ION TRANSPORT INTO CYTOSOL,GOBP,GO:0010522,0,0,0,0,1.968445254,0,0,0,0,0
PROTEIN LIPIDATION,GOBP,GO:0006497,0,0,3.262044467,0,0,0,0,0,0,0
BILE ACID BIOSYNTHETIC PROCESS,GOBP,GO:0006699,0,0,0,0,0,0,0,0,2.842068736,0
DETECTION OF CHEMICAL STIMULUS INVOLVED IN SENSORY PERCEPTION OF BITTER TASTE,GOBP,GO:0001580,0,0,0,0,0,1.571505038,0,0,0,0
NEGATIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS,GOBP,GO:0002823,0,0,0,0,0,0,0,1.404027528,0,0
RESPONSE TO CAMP,GOBP,GO:0051591,0,0,0,0,0,0,0,0,1.597900371,0
REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN,GOBP,GO:0033628,1.541812935,0,0,0,0,0,0,0,0,0
DNA GEOMETRIC CHANGE,GOBP,GO:0032392,0,0,2.550102387,0,0,0,0,0,0,0
ADP METABOLIC PROCESS,GOBP,GO:0046031,0,0,0,0,0,0,0,1.432232864,0,0
CELL JUNCTION ORGANIZATION,GOBP,GO:0034330,0,0,0,2.058293418,0,0,0,0,0,0
REGULATION OF TRANSPOSITION,GOBP,GO:0010528,0,1.572444752,0,0,0,0,0,0,0,0
CEREBELLAR GRANULAR LAYER DEVELOPMENT,GOBP,GO:0021681,1.481727122,0,0,0,0,0,0,0,0,0
THIOESTER BIOSYNTHETIC PROCESS,GOBP,GO:0035384,0,0,0,0,0,0,0,0,2.08283744,0
POSITIVE REGULATION OF RESPONSE TO CYTOKINE STIMULUS,GOBP,GO:0060760,0,0,0,0,0,0,0,0,0,1.385900797
REGULATION OF NECROPTOTIC PROCESS,GOBP,GO:0060544,0,0,0,0,1.603175989,0,0,0,0,0
ORGANIC HYDROXY COMPOUND TRANSPORT,GOBP,GO:0015850,2.435436666,0,0,0,0,0,0,0,0,0
REGULATION OF FIBROBLAST PROLIFERATION,GOBP,GO:0048145,1.428295569,0,0,0,0,0,0,0,0,0
"POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, INITIATION",GOBP,GO:2000144,0,0,0,0,0,0,0,0,0,2.158964498
T CELL RECEPTOR SIGNALING PATHWAY,GOBP,GO:0050852,0,0,0,0,0,0,0,0,0,1.665975257
REGULATION OF LOW-DENSITY LIPOPROTEIN PARTICLE CLEARANCE,GOBP,GO:0010988,1.481727122,0,0,0,0,0,0,0,0,0
ESTABLISHMENT OF SPINDLE ORIENTATION,GOBP,GO:0051294,1.312438004,0,0,0,0,0,0,0,0,0
CYTOSOLIC TRANSPORT,GOBP,GO:0016482,0,0,4.013777866,0,0,0,0,0,0,0
"REGULATION OF SYMBIOSIS, ENCOMPASSING MUTUALISM THROUGH PARASITISM",GOBP,GO:0043903,0,0,0,0,0,0,0,1.631714266,0,0
REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION,GOBP,GO:0010717,0,0,0,2.505749629,0,0,0,0,0,0
REGULATION OF POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR ACTIVITY,GOBP,GO:0098962,0,0,0,2.398904357,0,0,0,0,0,0
NEGATIVE REGULATION OF CIRCADIAN RHYTHM,GOBP,GO:0042754,0,2.240944563,0,0,0,0,0,0,0,0
LONG-CHAIN FATTY ACID METABOLIC PROCESS,GOBP,GO:0001676,0,0,0,0,0,0,0,0,2.344851288,0
POSITIVE REGULATION OF CELL ACTIVATION,GOBP,GO:0050867,0,0,0,0,0,0,1.399182641,0,0,0
POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY,GOBP,GO:0034145,1.553987426,0,0,0,0,0,0,0,0,0
REGULATION OF NEUROTROPHIN TRK RECEPTOR SIGNALING PATHWAY,GOBP,GO:0051386,1.481727122,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF BINDING,GOBP,GO:0051099,0,0,0,0,0,0,0,0,0,1.340071491
TRANSMISSION OF NERVE IMPULSE,GOBP,GO:0019226,0,0,0,0,1.949454053,0,0,0,0,0
PURINE NUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0034033,0,0,0,0,0,0,0,0,1.657602123,0
SISTER CHROMATID SEGREGATION,GOBP,GO:0000819,0,0,0,0,0,6.241829691,0,0,0,0
PROCESS UTILIZING AUTOPHAGIC MECHANISM,GOBP,GO:0061919,0,0,4.421526286,0,0,0,0,0,0,0
ALPHA-BETA T CELL DIFFERENTIATION,GOBP,GO:0046632,0,0,0,0,0,0,1.422844675,0,0,0
NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE,GOBP,GO:1902230,0,0,0,0,0,1.807198574,0,0,0,0
CELLULAR DEFENSE RESPONSE,GOBP,GO:0006968,1.404826938,0,0,0,0,0,0,0,0,0
REGULATION OF PROTEIN MATURATION,GOBP,GO:1903317,0,0,0,0,0,0,1.656855855,0,0,0
REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE,GOBP,GO:1902229,0,0,0,0,0,1.634761574,0,0,0,0
NEGATIVE REGULATION OF FIBROBLAST PROLIFERATION,GOBP,GO:0048147,0,0,1.953442859,0,0,0,0,0,0,0
REGULATION OF TUBE SIZE,GOBP,GO:0035150,0,0,0,2.29246131,0,0,0,0,0,0
CORTICAL ACTIN CYTOSKELETON ORGANIZATION,GOBP,GO:0030866,1.92121944,0,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO FLUID SHEAR STRESS,GOBP,GO:0071498,0,0,1.420581801,0,0,0,0,0,0,0
ADHERENS JUNCTION ORGANIZATION,GOBP,GO:0034332,0,0,0,1.468638902,0,0,0,0,0,0
PITUITARY GLAND DEVELOPMENT,GOBP,GO:0021983,0,0,0,0,0,1.551571879,0,0,0,0
DIOL METABOLIC PROCESS,GOBP,GO:0034311,1.312438004,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY,GOBP,GO:2001056,0,0,0,0,0,0,0,0,1.716275592,0
NEGATIVE REGULATION OF EXCITATORY POSTSYNAPTIC POTENTIAL,GOBP,GO:0090394,0,0,0,0,0,0,0,1.569059313,0,0
POSITIVE REGULATION OF INTRACELLULAR PROTEIN TRANSPORT,GOBP,GO:0090316,0,0,3.362920437,0,0,0,0,0,0,0
REGULATION OF T CELL DIFFERENTIATION,GOBP,GO:0045580,0,0,0,0,1.949873559,0,0,0,0,0
BILE ACID SIGNALING PATHWAY,GOBP,GO:0038183,0,0,0,1.545675784,0,0,0,0,0,0
REGULATION OF BEHAVIOR,GOBP,GO:0050795,0,1.599806491,0,0,0,0,0,0,0,0
RETINOL METABOLIC PROCESS,GOBP,GO:0042572,0,0,0,0,0,2.450405341,0,0,0,0
REGULATION OF CHEMOKINE PRODUCTION,GOBP,GO:0032642,0,0,0,0,0,0,2.700713669,0,0,0
SIGNAL TRANSDUCTION INVOLVED IN CELLULAR RESPONSE TO AMMONIUM ION,GOBP,GO:1903831,0,0,1.326045637,0,0,0,0,0,0,0
RIBONUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0034030,0,0,0,0,0,0,0,0,1.657602123,0
POSITIVE REGULATION OF TRANSCRIPTION ELONGATION FROM RNA POLYMERASE II PROMOTER,GOBP,GO:0032968,0,1.387365162,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION,GOBP,GO:0031111,0,0,1.479306115,0,0,0,0,0,0,0
RESPONSE TO VITAMIN D,GOBP,GO:0033280,0,0,0,0,0,1.894989206,0,0,0,0
POSITIVE REGULATION OF TRANSCRIPTION OF NUCLEOLAR LARGE RRNA BY RNA POLYMERASE I,GOBP,GO:1901838,0,0,0,0,0,0,0,0,0,1.668171877
REGULATION OF T CELL APOPTOTIC PROCESS,GOBP,GO:0070232,0,0,0,0,1.417462354,0,0,0,0,0
RESPONSE TO BRONCHODILATOR,GOBP,GO:0097366,0,0,0,0,0,0,0,1.376583929,0,0
SOMATIC STEM CELL DIVISION,GOBP,GO:0048103,0,0,0,0,0,0,0,0,2.293915432,0
COBALAMIN METABOLIC PROCESS,GOBP,GO:0009235,0,0,0,0,0,0,0,1.772645584,0,0
NEGATIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOBP,GO:0071901,0,0,0,0,0,2.745128641,0,0,0,0
AORTIC VALVE DEVELOPMENT,GOBP,GO:0003176,0,0,0,0,0,0,0,0,1.556562013,0
AXON GUIDANCE,GOBP,GO:0007411,0,0,0,2.433199212,0,0,0,0,0,0
NEGATIVE REGULATION OF GTPASE ACTIVITY,GOBP,GO:0034260,1.665604564,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF ERAD PATHWAY,GOBP,GO:1904294,0,0,0,0,0,0,0,0,1.493228863,0
FATTY-ACYL-COA BIOSYNTHETIC PROCESS,GOBP,GO:0046949,0,0,0,0,0,0,0,0,1.723380491,0
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY,GOBP,GO:0002717,0,1.410724849,0,0,0,0,0,0,0,0
ESTROGEN METABOLIC PROCESS,GOBP,GO:0008210,0,0,0,0,0,0,0,0,1.52645411,0
NEGATIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION,GOBP,GO:1903038,0,0,0,0,0,1.313767968,0,0,0,0
POSITIVE REGULATION OF LEUKOCYTE ACTIVATION,GOBP,GO:0002696,0,0,0,0,0,0,1.45453219,0,0,0
PEPTIDE CATABOLIC PROCESS,GOBP,GO:0043171,0,0,0,0,0,0,0,0,0,1.459374014
CEREBRAL CORTEX RADIAL GLIA GUIDED MIGRATION,GOBP,GO:0021801,0,0,1.724223933,0,0,0,0,0,0,0
REGULATION OF BONE REMODELING,GOBP,GO:0046850,0,0,0,0,0,0,1.438232557,0,0,0
NEGATIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN INFLAMMATORY RESPONSE,GOBP,GO:1900016,0,0,0,0,0,0,0,1.959568805,0,0
NEGATIVE REGULATION OF GLUCOSE TRANSMEMBRANE TRANSPORT,GOBP,GO:0010829,0,0,0,0,0,0,0,0,1.493228863,0
CELLULAR RESPONSE TO XENOBIOTIC STIMULUS,GOBP,GO:0071466,0,0,0,0,0,0,2.438074809,0,0,0
CORTICAL CYTOSKELETON ORGANIZATION,GOBP,GO:0030865,1.307099215,0,0,0,0,0,0,0,0,0
CELLULAR GLUCOSE HOMEOSTASIS,GOBP,GO:0001678,0,0,2.556848985,0,0,0,0,0,0,0
PROSTATE GLAND DEVELOPMENT,GOBP,GO:0030850,0,0,0,1.424647364,0,0,0,0,0,0
REGULATION OF CHROMOSOME SEGREGATION,GOBP,GO:0051983,0,0,0,0,0,2.25388068,0,0,0,0
POSITIVE REGULATION OF CHEMOTAXIS,GOBP,GO:0050921,1.677896401,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CHONDROCYTE DIFFERENTIATION,GOBP,GO:0032332,2.125917551,0,0,0,0,0,0,0,0,0
DIGESTION,GOBP,GO:0007586,0,0,0,0,0,0,2.344342326,0,0,0
NEGATIVE REGULATION OF AXON REGENERATION,GOBP,GO:0048681,1.356027339,0,0,0,0,0,0,0,0,0
SPINDLE CHECKPOINT,GOBP,GO:0031577,0,0,0,0,0,3.280288369,0,0,0,0
CEREBRAL CORTEX RADIALLY ORIENTED CELL MIGRATION,GOBP,GO:0021799,0,0,1.326045637,0,0,0,0,0,0,0
STEM CELL DIFFERENTIATION,GOBP,GO:0048863,1.42141364,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF HEMOSTASIS,GOBP,GO:1900048,0,0,0,0,0,0,0,1.400492271,0,0
NADH METABOLIC PROCESS,GOBP,GO:0006734,0,0,0,0,0,0,0,1.84510222,0,0
NCRNA 3'-END PROCESSING,GOBP,GO:0043628,0,0,0,0,0,0,0,1.376583929,0,0
G PROTEIN-COUPLED PURINERGIC RECEPTOR SIGNALING PATHWAY,GOBP,GO:0035588,0,0,0,0,1.810808618,0,0,0,0,0
ENTRAINMENT OF CIRCADIAN CLOCK,GOBP,GO:0009649,0,0,1.668274867,0,0,0,0,0,0,0
INTRACELLULAR PROTEIN TRANSMEMBRANE TRANSPORT,GOBP,GO:0065002,0,0,0,1.45388272,0,0,0,0,0,0
CORNIFICATION,GOBP,GO:0070268,0,0,0,0,0,1.44809473,0,0,0,0
RESPONSE TO MISFOLDED PROTEIN,GOBP,GO:0051788,0,0,0,0,0,0,0,0,0,1.70614039
POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION,GOBP,GO:0031116,0,0,0,0,0,0,0,0,0,1.496229169
RESPONSE TO ESTROGEN,GOBP,GO:0043627,0,0,0,0,1.537088189,0,0,0,0,0
NEGATIVE REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY,GOBP,GO:0051444,0,0,0,0,0,0,0,0,0,2.036967117
VERY-LOW-DENSITY LIPOPROTEIN PARTICLE ASSEMBLY,GOBP,GO:0034379,2.470806163,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF G0 TO G1 TRANSITION,GOBP,GO:0070317,0,0,1.436464972,0,0,0,0,0,0,0
REGULATION OF MITOTIC SPINDLE ASSEMBLY,GOBP,GO:1901673,0,0,0,0,0,0,0,1.831191699,0,0
ACTION POTENTIAL,GOBP,GO:0001508,0,0,0,0,0,0,0,0,1.652251746,0
GO ID NOT FOUND IN OBO FILE ONTOLOGY DEFINITIONS,GOBP,GO:0150104,0,0,1.331441345,0,0,0,0,0,0,0
MULTICELLULAR ORGANISMAL MOVEMENT,GOBP,GO:0050879,0,0,0,0,0,0,1.574862767,0,0,0
REGULATION OF SISTER CHROMATID SEGREGATION,GOBP,GO:0033045,0,0,0,0,0,1.727828397,0,0,0,0
MRNA TRANSCRIPTION,GOBP,GO:0009299,0,0,0,0,0,0,0,0,1.546167178,0
POSITIVE REGULATION OF OSSIFICATION,GOBP,GO:0045778,0,0,0,0,0,1.740908495,0,0,0,0
AMYLOID PRECURSOR PROTEIN METABOLIC PROCESS,GOBP,GO:0042982,1.865668147,0,0,0,0,0,0,0,0,0
RNA PHOSPHODIESTER BOND HYDROLYSIS,GOBP,GO:0090501,0,0,0,0,0,0,0,1.514051038,0,0
REGULATION OF MUSCLE CELL DIFFERENTIATION,GOBP,GO:0051147,1.886626605,0,0,0,0,0,0,0,0,0
EMBRYONIC SKELETAL SYSTEM DEVELOPMENT,GOBP,GO:0048706,1.620302443,0,0,0,0,0,0,0,0,0
REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING,GOBP,GO:0043122,0,0,1.637335127,0,0,0,0,0,0,0
PROTEOGLYCAN BIOSYNTHETIC PROCESS,GOBP,GO:0030166,0,0,0,0,0,0,1.323634064,0,0,0
REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION,GOBP,GO:0033047,0,0,0,0,0,1.912876891,0,0,0,0
FOLIC ACID-CONTAINING COMPOUND METABOLIC PROCESS,GOBP,GO:0006760,1.569726338,0,0,0,0,0,0,0,0,0
RESPONSE TO XENOBIOTIC STIMULUS,GOBP,GO:0009410,0,0,0,0,0,0,1.632510611,0,0,0
FAT-SOLUBLE VITAMIN METABOLIC PROCESS,GOBP,GO:0006775,0,0,0,0,0,0,0,0,4.218672374,0
INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY,GOBP,GO:0060333,1.515425803,0,0,0,0,0,0,0,0,0
MULTICELLULAR ORGANISMAL RESPONSE TO STRESS,GOBP,GO:0033555,1.765911322,0,0,0,0,0,0,0,0,0
REGULATION OF HEART RATE BY CARDIAC CONDUCTION,GOBP,GO:0086091,0,0,0,0,0,1.591994414,0,0,0,0
CLEAVAGE INVOLVED IN RRNA PROCESSING,GOBP,GO:0000469,0,0,0,0,0,0,0,2.290554681,0,0
REGULATION OF CYTOKINE-MEDIATED SIGNALING PATHWAY,GOBP,GO:0001959,0,0,0,0,0,0,0,0,0,1.390622864
POSITIVE REGULATION OF CELLULAR AMIDE METABOLIC PROCESS,GOBP,GO:0034250,0,0,1.388850947,0,0,0,0,0,0,0
POSITIVE REGULATION OF MITOCHONDRIAL OUTER MEMBRANE PERMEABILIZATION INVOLVED IN APOPTOTIC SIGNALING PATHWAY,GOBP,GO:1901030,0,0,4.55126836,0,0,0,0,0,0,0
CELLULAR RESPONSE TO ANTIBIOTIC,GOBP,GO:0071236,0,0,0,0,0,0,0,0,0,2.831122926
POSITIVE REGULATION OF TELOMERE MAINTENANCE VIA TELOMERE LENGTHENING,GOBP,GO:1904358,0,0,1.523804813,0,0,0,0,0,0,0
ALCOHOL CATABOLIC PROCESS,GOBP,GO:0046164,0,0,0,0,0,0,1.378593339,0,0,0
NUCLEIC ACID PHOSPHODIESTER BOND HYDROLYSIS,GOBP,GO:0090305,0,0,2.622967749,0,0,0,0,0,0,0
IRON ION TRANSPORT,GOBP,GO:0006826,0,0,0,0,0,0,0,2.316219683,0,0
DNA SYNTHESIS INVOLVED IN DNA REPAIR,GOBP,GO:0000731,0,1.978844019,0,0,0,0,0,0,0,0
SENSORY PERCEPTION OF BITTER TASTE,GOBP,GO:0050913,0,0,0,0,0,1.494847286,0,0,0,0
