,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,Female Anterior Insula,Female BA8/9,Female BA11,Female BA25,Female Nac,Female Subic,Male Anterior Insula,Male BA8/9,Male BA11,Male BA25,Male Nac,Male Subic,female_ancg,female_dlpfc,female_nacc,male_ancg,male_dlpfc,male_nacc
NEURONAL DENSE CORE VESICLE,GOCC,GO:0098992,0,0,0,0,0,0,0,0,0,0,0,0,0,1.393316391,0,0,0,0,0,0,0,0
CONTRACTILE FIBER PART,GOCC,GO:0044449,2.436317855,0,2.912248557,0,0,0,0,0,2.108854391,0,0,0,0,2.48445779,0,0,0,1.587767658,0,3.258852258,2.193546588,0
MYOFIBRIL,GOCC,GO:0030016,2.860386151,0,2.794802094,0,0,0,0,0,2.687461211,0,0,0,0,2.822919089,0,0,0,1.550083816,0,3.154226923,2.124937923,1.557490269
INCLUSION BODY,GOCC,GO:0016234,2.828708255,3.191672275,4.407774965,1.689786389,0,2.315155442,2.949536952,0,1.677081076,0,0,0,1.677081076,4.037095183,0,0,0,0,0,2.685060924,3.466371681,3.381561246
INO80 COMPLEX,GOCC,GO:0031011,1.596859109,1.728588384,0,0,0,2.087689951,6.459317068,0,0,0,0,0,2.21271889,4.634657173,0,0,0,0,0,0,0,0
REGION OF CYTOSOL,GOCC,GO:0099522,0,0,2.604772562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.653212745,1.517876616
CONDENSED NUCLEAR CHROMOSOME,GOCC,GO:0000794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.038556181,0,0,0,0
"PROTON-TRANSPORTING ATP SYNTHASE COMPLEX, COUPLING FACTOR F(O)",GOCC,GO:0045263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.601112848,0,6.174953689
"PROTON-TRANSPORTING TWO-SECTOR ATPASE COMPLEX, PROTON-TRANSPORTING DOMAIN",GOCC,GO:0033177,0,0,0,0,0,0,0,0,0,0,0,2.655490938,0,1.673775786,0,0,0,0,0,3.098303953,0,6.283005269
MELANOSOME MEMBRANE,GOCC,GO:0033162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127556234,0,0,0,0,0
NUCLEAR TRANSCRIPTIONAL REPRESSOR COMPLEX,GOCC,GO:0090568,0,3.032934285,0,2.034144107,0,0,0,0,0,0,0,0,0,2.150332409,0,0,0,0,0,0,0,3.167424449
PSEUDOPODIUM,GOCC,GO:0031143,2.504649897,0,1.886129308,0,0,1.932039714,0,0,2.055977791,0,0,0,0,0,0,0,0,0,0,0,0,0
ENDOPLASMIC RETICULUM QUALITY CONTROL COMPARTMENT,GOCC,GO:0044322,0,0,0,0,0,0,1.399671842,0,0,0,0,1.372131732,2.770389969,1.418925598,0,0,0,0,0,0,0,0
PLATELET ALPHA GRANULE,GOCC,GO:0031091,0,2.016535721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.936196436,1.373396569,1.629513579,0,0
MRNA CAP BINDING COMPLEX,GOCC,GO:0005845,0,0,2.401321715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLIAL CELL PROJECTION,GOCC,GO:0097386,1.871845075,0,0,2.073875202,0,0,1.399671842,0,0,0,0,0,0,0,0,0,0,0,0,1.795999454,0,0
CYTOPLASMIC DYNEIN COMPLEX,GOCC,GO:0005868,0,0,0,1.459679668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNA POLYMERASE II, CORE COMPLEX",GOCC,GO:0005665,0,0,0,0,0,0,3.316591538,2.372712392,0,0,0,3.272148287,5.3137772,3.376110546,0,0,0,0,0,0,0,3.048573991
NEUROMUSCULAR JUNCTION,GOCC,GO:0031594,2.227107548,0,4.678281149,0,0,0,0,0,0,0,0,0,0,0,0,0,2.601358284,1.308130686,0,2.109756054,0,0
NEURON PROJECTION CYTOPLASM,GOCC,GO:0120111,0,0,3.174151211,0,0,0,1.881556891,0,0,1.4761781,0,0,0,2.861019385,0,0,2.257738824,0,0,1.724204858,0,0
PROTEIN ACETYLTRANSFERASE COMPLEX,GOCC,GO:0031248,0,0,0,1.359726813,0,0,3.31053594,0,0,0,0,0,1.410887578,0,0,0,0,0,0,0,0,0
PROTEASOME REGULATORY PARTICLE,GOCC,GO:0005838,0,0,0,0,0,0,4.116399782,0,0,0,0,0,0,3.7545143,0,0,0,0,0,0,0,1.480179723
MICROTUBULE ORGANIZING CENTER PART,GOCC,GO:0044450,0,0,2.957035337,0,1.47251956,0,0,0,2.945719527,0,1.39304225,1.606101469,0,0,0,0,2.848406905,1.954253796,0,0,3.915607494,1.668932526
DNA REPAIR COMPLEX,GOCC,GO:1990391,0,1.720806366,3.965841091,0,0,0,0,0,0,1.374752283,0,0,0,0,0,0,0,0,0,0,0,0
HETEROCHROMATIN,GOCC,GO:0000792,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460222971,0,0,0,0,0,0,0,1.874982413
MYELIN SHEATH,GOCC,GO:0043209,0,0,1.532504282,0,0,0,0,0,1.359283175,0,0,0,0,0,0,0,0,0,0,2.185014434,2.723175105,0
ENDOPLASMIC RETICULUM-GOLGI INTERMEDIATE COMPARTMENT,GOCC,GO:0005793,0,0,0,0,0,0,0,0,0,0,0,0,0,1.766684442,0,0,0,0,0,0,0,0
KINESIN COMPLEX,GOCC,GO:0005871,0,1.467987592,0,2.275220971,2.781966916,2.939583858,0,0,0,3.132762851,0,0,2.136848455,5.451426594,1.774463774,0,3.123412675,6.672011222,0,0,3.389990339,0
EARLY ENDOSOME,GOCC,GO:0005769,6.150882586,4.35559983,4.82752423,2.451038732,3.326827861,0,2.06969666,0,1.451340342,0,0,2.907876554,0,3.09047055,0,2.031950087,4.040335073,1.819718008,0,5.679380786,6.924164319,2.279084267
CYTOPLASMIC RIBONUCLEOPROTEIN GRANULE,GOCC,GO:0036464,2.680709062,0,3.928486577,2.206106452,0,0,1.407384396,0,0,0,0,1.819414575,1.948908954,0,0,0,0,0,0,0,0,0
BASAL PART OF CELL,GOCC,GO:0045178,1.632124934,0,1.452963171,1.87781915,0,0,0,0,1.826209001,0,1.38395005,0,1.826209001,0,1.561088963,1.43827562,3.709471451,1.354689144,0,2.218501278,2.865595019,0
CELL DIVISION SITE,GOCC,GO:0032153,2.859392937,1.695058666,0,0,0,0,1.374505466,0,0,1.659402768,2.243018144,0,0,0,0,0,0,0,0,0,2.641230947,0
MRNA CLEAVAGE FACTOR COMPLEX,GOCC,GO:0005849,0,0,1.371497004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRACTILE ACTIN FILAMENT BUNDLE,GOCC,GO:0097517,0,0,0,0,0,3.480736324,0,0,0,0,1.38395005,0,1.826209001,0,1.561088963,0,0,0,0,2.218501278,2.865595019,0
PLASMA MEMBRANE RECEPTOR COMPLEX,GOCC,GO:0098802,2.537447458,0,0,1.429107013,0,2.541311546,0,0,0,2.895781244,0,0,0,0,0,0,1.315613371,1.609212243,0,0,1.693187678,0
UBIQUITIN LIGASE COMPLEX,GOCC,GO:0000151,0,0,0,0,0,0,1.476956068,0,0,0,0,0,1.56670611,0,0,0,0,0,0,0,0,0
CENTRIOLAR SUBDISTAL APPENDAGE,GOCC,GO:0120103,0,0,1.518553728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTILE CILIUM,GOCC,GO:0031514,0,2.061225801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.212956321,0,0,0
GOLGI LUMEN,GOCC,GO:0005796,0,1.817636254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRESS FIBER,GOCC,GO:0001725,0,0,0,0,0,3.480736324,0,0,0,0,1.38395005,0,1.826209001,0,1.561088963,0,0,0,0,2.218501278,2.865595019,0
VACUOLAR PROTON-TRANSPORTING V-TYPE ATPASE COMPLEX,GOCC,GO:0016471,0,1.577195967,2.867237737,0,0,1.932039714,1.817625295,0,0,0,0,3.029000158,2.055977791,3.051342046,0,0,0,0,0,4.905492046,0,2.807486868
MEMBRANE RAFT,GOCC,GO:0045121,7.457578076,7.303506577,11.61844908,4.775648532,0,3.641841067,3.713163376,4.980553026,2.919391375,2.264239104,0,2.483110308,2.919391375,6.112864173,2.018629042,0,6.269588585,0,1.527307537,4.06769257,8.939027661,7.18361433
CELL-SUBSTRATE JUNCTION,GOCC,GO:0030055,7.832845825,4.386978982,11.2322594,4.443818028,0,1.764433996,3.204348312,3.295965769,7.288639168,0,0,1.718894702,1.692312839,6.437493842,0,0,0,2.192758166,0,3.168762811,8.283188187,3.790246744
ORGANELLE ENVELOPE LUMEN,GOCC,GO:0031970,0,0,1.334474687,0,0,0,1.767895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICROTUBULE ASSOCIATED COMPLEX,GOCC,GO:0005875,1.726965235,2.662852943,3.746109377,3.327189436,1.400708425,2.419330092,0,0,0,1.981750957,0,1.490661852,2.033182652,5.534968985,4.360428563,0,1.357292792,5.733768081,0,0,0,0
MITOCHONDRIA-ASSOCIATED ER MEMBRANE,GOCC,GO:0044233,0,1.491182485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXON PART,GOCC,GO:0033267,0,2.452208682,5.83792366,7.525756165,0,1.582513971,0,0,2.995159063,0,0,1.583884522,2.440201706,11.61417562,0,3.386355548,1.402333701,0,0,2.804830162,3.934466295,0
PEROXISOMAL PART,GOCC,GO:0044439,0,0,0,0,0,0,3.034783959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELL-SUBSTRATE ADHERENS JUNCTION,GOCC,GO:0005924,7.937706964,4.453774591,11.39703689,4.510900976,0,1.794380828,3.252112807,3.335932402,7.36292031,0,0,1.750659788,1.719568237,6.546886569,0,0,0,2.219978775,0,3.228246437,8.380266614,3.84875176
VACUOLAR MEMBRANE,GOCC,GO:0005774,2.135117172,4.205849422,5.142787948,2.830582752,1.769253658,1.683428676,4.142322707,1.58690685,2.567943602,0,0,2.935561228,0,3.513831702,0,0,0,0,0,3.429312148,0,0
"MITOCHONDRIAL PROTON-TRANSPORTING ATP SYNTHASE COMPLEX, COUPLING FACTOR F(O)",GOCC,GO:0000276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.804520612,0,6.797791302
9+2 MOTILE CILIUM,GOCC,GO:0097729,0,2.097524169,1.669162757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.011645344,0,0,0
SPINDLE POLE CENTROSOME,GOCC,GO:0031616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.796645252
MLL1/2 COMPLEX,GOCC,GO:0044665,0,0,0,0,0,0,3.69097991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDIATOR COMPLEX,GOCC,GO:0016592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.370240316,0,0,0,0,0
PODOSOME,GOCC,GO:0002102,4.043383829,0,2.137650638,2.158102433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,GOCC,GO:0098800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.465645563,0,4.936076517
STRIATED MUSCLE THIN FILAMENT,GOCC,GO:0005865,0,0,1.646075412,0,0,0,0,0,0,0,0,0,0,1.776555228,2.467889119,0,0,0,0,0,0,0
POSTSYNAPTIC DENSITY MEMBRANE,GOCC,GO:0098839,0,0,2.552451586,1.479722113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRANSPORTER COMPLEX,GOCC,GO:1990351,0,0,0,0,0,2.930714889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRANSCRIPTIONAL REPRESSOR COMPLEX,GOCC,GO:0017053,0,3.713766644,1.518070934,2.923882686,0,0,0,1.747772163,0,0,0,0,0,1.731148886,0,0,0,0,0,0,0,1.612852625
"POSTSYNAPTIC DENSITY, INTRACELLULAR COMPONENT",GOCC,GO:0099092,0,1.993200633,0,2.001546863,0,0,0,0,0,0,0,0,0,0,0,1.303551519,0,0,0,0,0,0
P GRANULE,GOCC,GO:0043186,0,0,0,0,0,0,0,0,0,0,2.360799065,0,0,0,0,0,0,0,0,0,0,0
PROTEASOME ACCESSORY COMPLEX,GOCC,GO:0022624,0,0,0,0,0,0,3.889323738,0,0,0,0,0,0,3.476531283,0,0,0,0,0,0,0,1.377732936
COATED VESICLE,GOCC,GO:0030135,2.820761308,0,1.399999096,2.0253452,0,0,0,0,2.593017467,1.457264025,0,1.7793737,1.510308607,5.232654143,0,0,2.499473439,0,0,2.572254135,1.883012341,0
NEURON PROJECTION TERMINUS,GOCC,GO:0044306,0,3.990260555,0,1.434107303,0,0,0,0,0,0,0,0,0,2.269401366,0,0,0,0,0,0,0,0
PHOSPHATIDYLINOSITOL 3-KINASE COMPLEX,GOCC,GO:0005942,3.96714728,2.103252162,3.891944217,0,0,0,0,1.811371712,0,1.633095614,0,3.572030295,0,5.250634305,2.230774071,0,0,0,2.315321096,2.779472798,0,2.202368037
SIN3-TYPE COMPLEX,GOCC,GO:0070822,0,0,1.956331949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNAPTIC MEMBRANE,GOCC,GO:0097060,2.433669076,1.787465711,4.362221103,2.220005137,0,0,0,0,1.563180904,0,0,0,0,0,0,0,0,0,0,0,1.359828963,0
SPECIFIC GRANULE MEMBRANE,GOCC,GO:0035579,0,2.016535721,1.372899758,0,0,0,1.799266127,0,0,0,0,0,0,0,0,3.073614225,0,0,0,0,0,0
TRANSCRIPTION FACTOR TFIIH HOLO COMPLEX,GOCC,GO:0005675,0,0,1.36819058,0,0,3.799487715,0,0,0,0,0,2.135252503,0,0,0,0,0,0,0,0,0,0
MICROVILLUS,GOCC,GO:0005902,1.738361119,2.016535721,0,0,0,0,1.799266127,0,1.446240743,0,0,0,3.101732171,0,0,0,0,0,0,3.652509453,5.65319855,2.163616077
RNA POLYMERASE I COMPLEX,GOCC,GO:0005736,0,0,0,0,0,0,0,0,0,0,0,2.135252503,2.40759029,2.541453524,0,0,0,0,0,0,0,0
NPBAF COMPLEX,GOCC,GO:0071564,0,1.918080242,3.600341182,0,0,0,0,0,0,0,0,2.135252503,2.40759029,1.458761432,0,0,0,0,0,0,0,0
INTEGRAL COMPONENT OF SYNAPTIC MEMBRANE,GOCC,GO:0099699,1.685140789,2.000194183,2.490940311,1.458678285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLASMA MEMBRANE BOUNDED CELL PROJECTION CYTOPLASM,GOCC,GO:0032838,0,2.400749544,4.914197986,1.465385108,0,0,0,0,0,0,0,0,0,0,1.962663227,0,0,0,0,1.78909513,0,0
MITOTIC SPINDLE,GOCC,GO:0072686,0,0,2.754097786,1.599295829,0,0,0,0,0,0,0,2.085276345,0,1.333496627,0,0,0,5.774498708,0,0,0,0
AP-TYPE MEMBRANE COAT ADAPTOR COMPLEX,GOCC,GO:0030119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.370240316,0,0,0,0,0
BRUSH BORDER MEMBRANE,GOCC,GO:0031526,0,0,0,0,1.507274813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COATED VESICLE MEMBRANE,GOCC,GO:0030662,2.473785733,0,0,1.374852067,0,0,0,0,1.839638585,1.78972975,0,0,0,1.817732604,0,0,3.135845184,0,0,2.820439225,0,0
GOLGI STACK,GOCC,GO:0005795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26354863,0,0,0,0,0,0
CONTRACTILE RING,GOCC,GO:0070938,0,0,1.518553728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SECRETORY GRANULE LUMEN,GOCC,GO:0034774,0,0,2.730393107,0,0,0,1.673125044,0,0,0,0,0,1.365871167,1.811043516,0,0,1.769014248,0,0,1.524490957,2.108353266,2.002658137
CD40 RECEPTOR COMPLEX,GOCC,GO:0035631,0,0,0,2.001546863,0,0,0,0,0,0,0,2.211305423,0,1.53082142,1.369069922,0,0,0,0,0,0,0
MIDBODY,GOCC,GO:0030496,0,0,1.707418198,1.717073222,0,0,0,0,2.362065426,0,1.813980338,1.714139981,0,2.953883507,0,0,0,4.21233962,0,0,0,1.389564846
SITE OF DNA DAMAGE,GOCC,GO:0090734,0,2.674589791,4.963443945,0,0,0,1.767895,0,0,1.390786792,0,0,0,0,0,0,0,0,0,0,0,0
DENDRITE TERMINUS,GOCC,GO:0044292,0,0,1.303594325,0,0,0,0,0,0,0,0,0,0,1.393316391,0,0,0,0,0,0,0,0
ATPASE COMPLEX,GOCC,GO:1904949,2.624565902,4.590675953,10.65334755,5.488842052,1.838025749,5.117085863,6.613783469,0,0,1.910700081,0,0,4.581475631,7.057228715,0,0,0,0,2.149719191,6.239654001,1.908279635,3.237889109
NEURONAL CELL BODY MEMBRANE,GOCC,GO:0032809,0,0,1.371497004,0,0,0,0,0,0,1.661827278,0,0,0,0,0,0,0,0,0,0,0,0
INTRINSIC COMPONENT OF SYNAPTIC MEMBRANE,GOCC,GO:0099240,1.518030962,1.822731465,2.216252465,1.318769769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COP9 SIGNALOSOME,GOCC,GO:0008180,0,0,1.754731041,0,1.911146867,0,3.260771479,0,0,1.458355445,0,0,0,0,0,1.919550105,1.453791208,0,0,3.376553575,2.976325693,0
NUCLEAR CYCLIN-DEPENDENT PROTEIN KINASE HOLOENZYME COMPLEX,GOCC,GO:0019908,0,1.918080242,2.401321715,0,0,5.488711056,0,0,0,0,0,3.577189797,0,1.458761432,0,0,0,0,0,0,0,3.35154688
TETRASPANIN-ENRICHED MICRODOMAIN,GOCC,GO:0097197,0,0,0,0,0,0,0,0,0,0,0,0,2.569398576,0,0,0,0,0,0,0,0,0
MICROBODY MEMBRANE,GOCC,GO:0031903,0,0,0,0,0,0,3.20630296,0,0,0,0,1.463143654,0,0,0,0,0,0,0,0,0,0
ACETYLCHOLINE-GATED CHANNEL COMPLEX,GOCC,GO:0005892,0,0,0,0,0,2.032317271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTERNAL SIDE OF PLASMA MEMBRANE,GOCC,GO:0009897,2.762687435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.671470203,0,0,2.878045516,0,1.681189489
RNA POLYMERASE COMPLEX,GOCC,GO:0030880,0,0,1.403110061,1.661467382,0,0,2.890682446,1.416327684,0,0,0,2.813093313,1.900717539,1.633595438,0,0,0,0,0,1.79982662,1.845998977,0
CCR4-NOT COMPLEX,GOCC,GO:0030014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.544039672,0,0
PML BODY,GOCC,GO:0016605,2.115402595,2.452379999,1.591479584,0,0,0,1.622743785,0,0,0,0,1.573994282,0,0,0,0,0,0,0,0,0,1.943377991
CAMP-DEPENDENT PROTEIN KINASE COMPLEX,GOCC,GO:0005952,0,0,3.953314559,0,0,0,0,0,0,0,0,0,0,0,1.409616198,1.343955856,0,0,0,0,0,0
SPERM PRINCIPAL PIECE,GOCC,GO:0097228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.509476595,0
INTRINSIC COMPONENT OF PRESYNAPTIC MEMBRANE,GOCC,GO:0098889,1.654131137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4505637,0,0,0,0,0,0
FLEMMING BODY,GOCC,GO:0090543,0,0,0,0,0,0,0,1.633483575,0,0,0,0,0,0,0,0,0,1.831757463,0,0,0,0
CLATHRIN COAT,GOCC,GO:0030118,0,0,0,0,0,0,0,0,0,0,0,0,0,1.593127194,0,0,0,0,0,0,0,0
ACTIN FILAMENT,GOCC,GO:0005884,1.910296881,0,1.385703445,2.258296572,0,0,0,0,2.665739288,0,0,0,3.525216127,3.239543006,1.977645773,0,0,0,0,1.782693518,0,0
TOR COMPLEX,GOCC,GO:0038201,1.596859109,1.728588384,3.188862631,0,0,3.492744302,0,0,0,0,0,1.942975221,0,2.250036712,0,0,3.638133994,0,0,0,0,1.796645252
PIGMENT GRANULE,GOCC,GO:0048770,0,0,1.938160859,0,2.766503358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MITOCHONDRIAL OUTER MEMBRANE,GOCC,GO:0005741,0,3.270701338,2.868537777,0,0,0,5.880598999,1.387721552,0,0,0,0,0,0,2.10612053,0,0,0,0,0,0,1.817954889
CYTOPLASMIC MICROTUBULE,GOCC,GO:0005881,0,0,1.813145187,0,1.349828906,0,0,0,0,0,0,0,0,0,1.479289918,0,0,0,0,0,0,0
CELL DIVISION SITE PART,GOCC,GO:0032155,3.197780972,1.909369354,1.503620933,0,0,0,1.536406118,0,0,1.828701269,2.42237928,0,0,0,0,0,0,0,0,0,2.92683615,0
CILIARY PLASM,GOCC,GO:0097014,0,1.953780674,2.418753245,0,0,0,0,0,0,0,0,0,0,0,2.736293647,0,0,0,0,0,0,0
"TRANSFERASE COMPLEX, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS",GOCC,GO:0061695,2.866935588,1.508690409,14.80045871,7.562366015,0,4.560194797,6.181038841,7.818910566,0,1.718097475,0,8.413782219,4.392549283,7.471611785,2.447015473,2.163771482,6.662169904,1.974438506,2.636096476,11.16350537,5.994449301,7.27225451
SIN3 COMPLEX,GOCC,GO:0016580,0,0,2.200722032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9+0 NON-MOTILE CILIUM,GOCC,GO:0097731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98740027,0,0,0
TRANS-GOLGI NETWORK,GOCC,GO:0005802,0,0,0,0,0,1.509713971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUCLEAR ENVELOPE,GOCC,GO:0005635,1.619227807,0,3.552081234,1.846764356,0,0,1.591925193,0,0,0,0,2.291227415,0,1.62314592,0,0,0,0,0,0,0,0
ER TO GOLGI TRANSPORT VESICLE MEMBRANE,GOCC,GO:0012507,1.746721631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTEGRAL COMPONENT OF VACUOLAR MEMBRANE,GOCC,GO:0031166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.411718963,0,0,0
POSTSYNAPTIC MEMBRANE,GOCC,GO:0045211,1.451459223,1.433775542,4.186483695,1.875307831,0,0,0,0,1.708604834,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTOSOLIC PART,GOCC,GO:0044445,0,0,2.086016801,0,0,0,0,0,0,0,0,1.76530712,1.363965464,1.395515405,0,0,0,0,0,0,0,2.338704049
LEADING EDGE MEMBRANE,GOCC,GO:0031256,5.142841794,1.920831921,2.920633841,4.451342055,1.323614997,0,1.432198325,2.243408406,0,0,1.965747693,1.916193444,0,9.387356175,1.502129597,0,0,1.910700081,0,2.949860156,2.190144286,4.014084211
AXONEME,GOCC,GO:0005930,0,1.984562485,2.466602085,0,0,0,0,0,0,0,0,0,0,0,2.760737812,0,0,0,0,0,0,0
CILIARY TIP,GOCC,GO:0097542,0,0,0,0,0,0,0,1.419213748,0,0,0,0,0,2.21130476,0,0,0,0,0,0,0,0
MICROBODY PART,GOCC,GO:0044438,0,0,0,0,0,0,3.034783959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POSTSYNAPTIC SPECIALIZATION, INTRACELLULAR COMPONENT",GOCC,GO:0099091,1.654252205,1.786689975,0,3.04930079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUCLEAR CHROMOSOME, TELOMERIC REGION",GOCC,GO:0000784,0,0,0,0,0,0,2.095174436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENDRITE CYTOPLASM,GOCC,GO:0032839,1.832946928,0,2.804859678,0,0,0,1.373677811,0,0,1.578769167,0,1.346242158,1.602363503,2.150332409,0,0,0,0,0,0,0,0
ACTIN-BASED CELL PROJECTION,GOCC,GO:0098858,4.78005269,1.920729068,3.417146875,2.45551377,0,0,0,0,0,0,0,0,4.248275968,2.973773399,0,0,0,1.600622309,0,3.294642458,5.437514143,2.666566859
SITE OF POLARIZED GROWTH,GOCC,GO:0030427,1.906656635,0,5.969705642,7.257213107,0,1.554955856,0,0,3.169513809,0,0,0,3.169513809,8.871210533,0,3.668981194,0,0,0,3.916120285,2.624174025,1.465371176
MICROVILLUS MEMBRANE,GOCC,GO:0031528,0,2.237465466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.382226159,0
DESMOSOME,GOCC,GO:0030057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.138047623,0,0,0,0
TERTIARY GRANULE MEMBRANE,GOCC,GO:0070821,0,0,0,0,0,0,2.125927253,1.910501203,1.69257787,0,0,0,0,0,0,1.346974294,0,0,0,0,0,0
PRESYNAPSE,GOCC,GO:0098793,0,2.36365278,3.54705896,2.026407087,0,0,1.457793124,0,1.39102833,0,0,1.370869293,0,4.796703551,0,0,0,0,0,0,1.343526815,0
NUCLEAR CHROMOSOME,GOCC,GO:0000228,1.674951902,2.599630476,8.09157757,3.149066847,0,0,4.291967281,0,0,1.538502309,0,0,4.043217872,5.547846742,0,0,0,2.461744303,0,1.881679904,0,2.882448764
SCF UBIQUITIN LIGASE COMPLEX,GOCC,GO:0019005,0,0,2.733838529,0,0,0,0,0,0,0,0,0,0,0,0,0,1.822053683,0,0,0,0,0
APICAL PART OF CELL,GOCC,GO:0045177,5.046024906,4.453774591,6.958611614,3.987704944,3.101939358,3.26838757,2.747708447,0,2.706710522,0,0,0,0,2.667169064,0,2.473235065,3.137979175,1.66845083,0,3.669106198,4.033697188,0
PHAGOCYTIC CUP,GOCC,GO:0001891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.921384614,1.345542321,3.403159646
CONDENSED CHROMOSOME KINETOCHORE,GOCC,GO:0000777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.742382763,0,0,0,0
TRANS-GOLGI NETWORK MEMBRANE,GOCC,GO:0032588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32831525,0,0,0,0,0
OUTER DYNEIN ARM,GOCC,GO:0036157,0,1.993200633,0,0,0,0,0,0,0,0,0,0,0,0,1.369069922,0,0,0,0,0,0,0
PEROXISOME,GOCC,GO:0005777,0,0,1.303620234,0,0,0,2.363010201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPERM FLAGELLUM,GOCC,GO:0036126,1.385268844,1.644948674,1.850404542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.106758779,0,0,0
FICOLIN-1-RICH GRANULE,GOCC,GO:0101002,1.441209002,0,5.319431176,0,0,0,2.443414106,0,0,0,0,0,0,1.742772446,0,0,1.733833913,0,0,1.738963599,3.904496787,1.955564565
COPI-COATED VESICLE,GOCC,GO:0030137,0,0,0,0,0,0,0,0,0,0,0,0,1.685620202,2.311414905,0,0,0,0,0,0,0,0
AXONAL GROWTH CONE,GOCC,GO:0044295,0,0,3.982292097,0,0,0,0,0,1.685620202,0,0,0,0,0,0,0,0,0,0,0,0,0
SERINE/THREONINE PROTEIN KINASE COMPLEX,GOCC,GO:1902554,1.795457035,0,8.58735092,5.385980635,0,6.921426947,2.615268463,6.937637631,0,1.450943943,0,6.283294925,4.143789845,2.796500078,1.321412662,0,7.346086163,2.955741983,1.39971211,8.268028753,3.907142876,6.643132231
